SubmissionDate,JASCCode,PartName,PartLocation,Discrepancy
5/21/2010 10:18:44,5751,SKIN,LT WING AILERON,TOP SIDE OF LT AILERON L/T IS CHAFED. REPAIRED LT AILERON UPPER L/E SKIN IAW REO 601R-57-60-013 AND REO 601R-57-60-071.
12/6/2016 9:12:47,3234,CONTROL HANDLE,MLG,"FLT.4127, NO GEAR MOVEMENT AFTER LANDING GEAR LEVER BROUGHT UP. NO GEAR DISAGREE MESSAGE. ALL LANDING GEAR INDICATION LIGHTS STAYED GREEN. PARKING BRAKE SOV CAUTION MESSAGE APPEARED WHEN GEAR LEVER SELECTED UP, CLEARED WHEN GEAR LEVER SELECTED DOWN. ANTISKID INBOARD CAUTION MESSAGE APPEARED WHEN GEAR LEVER SELECTED UP. CLEARED WHEN GEAR LEVER SELECTED DOWN. R & R LANDING GEAR CONTROL HANDLE IAW AMM 32-31-01, REQUIRES LANDING GEAR RETRACTION CHECK IAW AMM TASK32-30-00-720-801. PERFORMED LANDING GEAR RETRACTION FUNCTIONAL TESTED IAW AMM 32-30-00-720-801, OPS CHECKED GOOD. OPS CHECKED PARK BRAKE SOV IAW AMM 32-45-11, OPS CHECKED GOOD. OPS CHECK ANTIISKID CONTROL SYSTEM IAW AMM 32-44-00, OPS CHECKED GOOD"
5/25/2018 15:36:21,5330,SKIN,FUSELAGE,REPAIR FS193-FS202.75 STGR16L COCKPIT LT SIDE SKIN BETWEEN FS193.00 - FS210.0 AND STGR16L-STGR20L (RVSM AREA).
5/25/2018 15:36:21,2750,GUIDE,TE FLAP,"LT WING OUTBD FLAP, INBD FLAP ROLLER GUIDE HAS ABRASION/WEAR. REPLACED"
5/23/2018 10:11:08,5751,SKIN,RT AILERON,RIGHT AILERON UPPER CLOSEOUT SKIN CHAFED. REPLACED SKIN IAW SRM 51-42-21.
5/21/2018 10:10:04,5320,STRAP,FUSELAGE,"ELONGATED HOLE IN FLOOR STRAP AT FS559.00, LBL38. REPLACED STRAP IAW SRM 51-45-00, 51-42-06."
5/21/2018 10:10:04,5320,FITTING,COCKPIT,FLIGHT DECK WINDSHIELD CENTER POST LOWER LT FITTING IS CRACKED. REPLACED WINDSHIELD CENTER POST LOWER LT FITTING IAW SRM 51-42-21.
5/21/2018 10:10:04,5311,FRAME,FUSELAGE,FS280 RBL9 FRAME HAS A CRACK.
5/21/2018 10:10:04,5753,SKIN,TE FLAP VANE,"RT I/B FLAP VANE, I/B AND O/B LEADING EDGE CHAFED. REPLACED I/B SKIN AND REPAIRED O/B SKIN IAW REO M601R-57-52-004 AND SRM 51-42-13."
5/21/2018 10:10:04,5320,INTERCOSTAL,FUSELAGE,STG 15L CLIP INTERCOSTAL AT FS621 BULKHEAD AFT FACE IS CRACKED.
5/21/2018 10:10:04,5347,SEAT TRACK,FUSELAGE,LT SIDEWALL SEAT TRACK NR 4 CORRODED. REPLACED SEAT TRACK NR 4 IAW SUPP 13-074 AND AMM 53-01-11.
5/21/2018 10:10:04,5320,SUPPORT ANGLE,FUSELAGE,FS280 LBL9 FWD FLOOR SUPPORT ANGLE CORRODED.
5/25/2018 15:36:21,5320,INTERCOSTAL,FUSELAGE,STR 15L FS 621-625 INTERCOSTAL MEMBER AT FS 621 BULKHEAD AFT FACE IS CRACKED. REPLACED.
5/25/2018 15:36:21,5753,SKIN,TE FLAP VANE,"LT WING AT WS264, O/B FLAP FIXED VANE L/E SKIN GOUGED. REPLACED SKIN IAW SRM 51-42-13."
5/25/2018 15:36:21,5320,LANDING,FUSELAGE,LT TRU DOOR AFT LATCH CUTOUT ON PNL LANDING CRACKED.
5/25/2018 15:36:21,5753,SKIN,TE FLAP,RIGHT O/B FLAP LOWER SKIN IS DENTED. REPAIRED FLAP IAW REO 601R-57-53-1125 REV-B.
5/21/2018 10:10:04,5320,DOOR SILL,FUSELAGE,FS313 RT FLOOR SILL SPOT OF CORROSION FWD OF SERVICE DOOR.
5/21/2018 10:10:04,5753,SKIN,TE FLAP VANE,LT I/B FLAP VANE HAS THREE L/E CHAFES.
5/21/2018 10:10:04,5320,FITTING,FUSELAGE,AT FS 280 AND LBL 9 CRACKED CLIP.
5/21/2018 10:10:04,2750,GUIDE PLATE,TE FLAP,RIGHT I/B FLAP I/B HINGE ARM I/B FAIRING GUIDE PLATE IS DENTED.
5/25/2016 10:21:29,5240,SHAFT,SERVICE DOOR,"SERVICE DOOR OUTER HANDLE WILL NOT OPEN FROM OUTSIDE USING PUSHBUTTON. INSPECTED SERVICE DOOR OUTER HANDLE & LUBRICATED IAW SUPP 11-029B, NO FIX. FOUND CRACK IN OUTER SERVICE DOOR OUTER HANDLE SHAFT. DOOR CLOSES, LATCHES & LOCKS NORMALLY."
4/23/2010 7:29:52,5320,INTERCOSTAL,FUSELAGE,NR 2 SYS RETURN FILTER BRACKET IS CRACKED. R & R HYD SUPPORT STRUCTURE INTERCOSTAL PN 600-75221-130 IAW SRM 51-42-06.
4/23/2010 7:46:18,7110,COWLING,LT ENGINE,"LT LOWER CORE COWL INNER SKIN PUNCTURED IN CTR REPAIRED BY CUTOUT FILLER AND DOUBLER IAW CMM 71-12-01. REPAIR SRS046 AND REO 601R-71-12-3976, REV A."
4/23/2010 8:35:58,5345,BRACKET,RT MLG WW,"BRAKE PRESSURE TRANSDUCER BRACKET IN RT WHEEL WELL WALL IS CRACKED. R & R BRACKET PN 601R75262-157 IAW SRM 51-40-11, 51-23-00, 51-42-21, AND 51-21-16."
4/23/2010 8:40:40,7110,COWLING,LT ENGINE,"L/N LOWER CORE COWL INNER SKIN PUNCTURED AT 6"" INBD OF FWD HINGE. REPAIRED LT LOWER CORE COWL INNER SKIN, 6"" INBD OF FWD HINGE IAW CMM 71-12-01, REPAIR NR SRS046."
1/18/2013 7:54:09,3260,WARNING SYSTEM,COCKPIT,"AFTER T/O FROM GSO, RECEIVED GEAR DISAGREE AND NOSE DOOR OPEN MSG FLAPS WERE AT 8. RAN QRH. MSG'S WENT AWAY WHEN HANDLE WAS PLACED DOWN. LANDED AT 44600 GROSS, ROLL-OUT AND BRAKING WERE NORMAL. FERRY TO ORF."
9/9/2013 15:48:03,3444,ANTENNA,RADIO ALTIMETER,RECEIVED ERRONEOUS GPWS TERRAIN/ TERRAIN/ PULL UP WARNING ON CLIMB OUT. RAD ALT IND 700 FT AT 4000 FT. R & R RADIO ALTIMETER ANTENNA FWD POSITION IAW AMM 34-44-07 AND AWAC SUP 07-035A AND SUP 07-34E. OPS CHECK GOOD AT THIS TIME.
3/16/2021 13:06:55,5210,SEAL,PAX DOOR,"PASSING THROUGH 8000 MSL CLIMBING, PAX DOOR HAD VERY LOUD NOISE OF AIR RUSHING OUT OF A/C. PRESSURIZATION OF A/C COULD NOT KEEP UP. BELIEVE A/C WAS PRESSURIZING. LOUD NOISE OF AIR CONTINUED THROUGHOUT ARRIVAL. RETURNED TO IAD. ***AIRCRAFT REMOVED FROM SERVICE*** R&R PAX DOOR SEAL IAW AMM 52-11-10 .REF 318911/ 1 FOR OPS AND LEAK CK."
4/23/2010 9:05:29,5744,ATTACH FITTING,LT WING,LT OTBD FLAP OTBD HINGE BOX ATTACH FITTING IS CHAFED. REPAIRED LT OTBD FLAP HINGE BOX AFT FITTING BY BLENDING IAW REO 601R-57-21-1264 ORIGINAL ISSUE.
4/23/2010 9:02:08,5320,FLOOR SUPPORT,FUSELAGE,FLOOR SUPPORT CRACKED AT FS 280 APPROX LBL 9 BY MLG MANUAL RELEASE CABLE PULLEY BRACKET REO 601R-53-11-138 CARRIED OUT.
3/10/2017 16:20:32,3397,CONNECTOR,CABIN,"4031 EMERGENCY LIGHTS NO ILLUMINATING PAST ROW 8 TO THE BACK OF AIRCRAFT ON FLOOR. FOUND CONNECTORS P40LY AND P39LY BAD. REMOVED AND REPLACED BOTH CONNECTORS IAW AMM 16-371A, OPS CHECKED GOOD,"
1/8/2007 7:47:27,2750,FLAP SYSTEM,TE FLAPS,"FLAPS FAILED TO EXTEND WHEN SELECTED ON APPROACH. COMPLIED WITH SUPPLEMENT 98-018A, FLAP RESET AND OPERATE NORMALLY. (K)"
4/29/2016 8:20:45,5320,INTERCOSTAL,FUSELAGE,"AFT ACCESSORY COMPARTMENT STATION 621, BULKHEAD AFT SIDE LT INTERCOSTAL STRINGER 13L, CLIP IS CRACKED. REPLACED IAW SRM 51-42-21."
4/29/2016 8:20:45,5340,FITTING,FUSELAGE,"AFT ACCESSORY COMPARTMENT STATION 621.0, BULKHEAD AFT SIDE LT INTERCOSTAL STRINGER 14L, CLIP IS CRACKED. REPAIRED IAW SRM 51-42-01."
4/29/2016 8:20:45,5420,RETAINER,LT PYLON,LEFT PYLON PANEL 412DB HAS A CRACKED SEAL RETAINER. REPLACED SEAL RETAINER ON LT PYLON PANEL 412DB IAW SRM 51-42-06.
4/29/2016 8:20:45,7830,PLATE,THRUST REVERSER,RIGHT THRUST REVERSER PDU CONNECTOR PLUG MOUNTING PLATE IS CRACKED. REPLACED RT THRUST REVERSER PDU MOUNT PLATE IAW SRM 51-42-06.
4/29/2016 8:20:45,5330,SKIN,FUSELAGE,"AFT LOWER FUSELAGE SKIN, BETWEEN FS 654.0 & 672.20, STRINGER 26R - 27 HAS A DENT. REPAIRED AFT LOWER FUSELAGE SKIN IAW EA AWAC CRJ253 00359 REV IR DATED 04 16 2016."
4/29/2016 8:20:45,5320,CLEAT,FUSELAGE,PASSENGER DOOR SILL FWD CLEAT HAS CORROSION. REPLACED PAX DOOR FWD CLEAT IAW SRM 51-42-06 & 51-42-10.
4/29/2016 8:20:45,5311,FRAME,FUSELAGE,"FRAME 333.00 HAS CORROSION ON THE FWD SIDE, BETWEEN STRINGER 23R & 22R, IN THE FWD E & E BAY. REPLACED FRAME 333.00 SECTION, BETWEEN STRINGER 23R & 18R IAW SRM 51-42-06 & 51-42-21."
4/29/2016 8:20:45,5520,BRACKET,FUSELAGE,CRACKED BRACKET UNDER PANEL 326CR. REPLACED BRACKET IAW SRM 51-24-21 & 51-11-20.
4/29/2016 8:20:45,5753,ATTACH BRACKET,TE FLAP,"LEFT OTBD FLAP CTR HINGE ARM, OTBD FAIRING ATTACH BRACKET IS CRACKED. R & R ATTACH BRACKET IAW SRM 51-40-11, 51-42-06 & 51-25-16."
5/3/2006 11:40:39,5320,ANGLE,FUSELAGE,"FS 484 ANGLE CRACKED AT LBL 36 APPROX .5 INCH LONG. (K) MAINTENANCE REPAIRED FLANGE AT FS 484, LBL 36 IAW BOMBARDIER REO 601R-53-41-059 REV A AND BOMBARDIER REO 601R-53-41-059 REV A AND BOMBARDIER STANDARD REPAIR 601R-53-0030A. (M)"
5/18/2006 14:52:25,5311,DOUBLER,BS 640,FOUND RIGHT SIDE FS 640 FRAME DOUBLER IS CRACKED AT STRINGER 10R APPROX 1 INCH LONG. MAINTENANCE REPAIRED BY PERFORMING JOB CARD 4EOMFG08415 AWAC EO E02/087/453 REV A INSPECTION AND MODIFICATION OF AFT FUSELAGE FRAME AT FS 640 BL 45 BETWEEN STRINGERS 9 AND 12. (M)
5/3/2006 11:36:25,5340,ANGLE,FUSELAGE,"FS 484 ANGLE CRACKED AT LBL 27 APPROX .5 INCH LONG. (K) MAINTENANCE REMOVED AND REPLACED CLIP IAW BSC STANDARD REPAIR 601R-53-0029A AND SRM 51-42-06, 51-42-21. (M)"
4/24/2007 10:05:18,2611,SMOKE DETECTOR,LAVATORY,"SMOKE TOILET CASS MESSAGE AFTER TAKEOFF WITH LAV SMOKE ALARM ACTIVATED RAN QRH, MESSAGE EXTINGUISHED ALARM OFF F/A REPPORTED NO INDICATION OF SMOKE OR FIRE ON INSPECTION. RAN ENGINE WITH APU AIR SWITCH OVER TO BLEED AIR AND NO SMOKE CAUTION MESSAGE WITH EITHER APU OR ENGINE SUPPLYING PACKS NO EXTERNAL ENGINE OIL LEAKS NOTED. SUSPECT FAULTY LAV SMOKE DETECTION SYSTEM. REMOVED AND REPLACED SMOKE DETECTOR UNIT, OPS CHECK GOOD. (K)"
4/8/2014 11:16:35,5320,FITTING,FUSELAGE,"CABIN FLOOR SUPPORT STRUCTURE FS 484 CLIP CRACKED AT RBL 27. R & R CLIP WITH SERVICEABLE CLIP IAW SRM 51-24-36, 51-40-11 & 51-42-21."
4/8/2014 11:03:59,5320,FITTING,FUSELAGE,FLOOR SUPPORT BEAM RBL 9 INBD & OTBD ATTACH CLIPS AT FS 280 ARE CRACKED. R & R CLIPS IAW REO 601R-53-11-171 & SRM 51-40-11 & 51-42-21.
4/8/2014 11:21:30,5320,FITTING,FUSELAGE,CLIP ON STRINGER 3L AT FS 280 IS CRACKED. R & R CLIP WITH SERVICEABLE PART IAW SRM 51-40-11 & 51-42-06.
4/8/2014 11:25:04,5347,CARGO TRACK,CARGO BAY,"TIE DOWN TRACK IN CARGO BAY, LBL 9 BETWEEN FS 559+112 & 574 IS CORRODED BEYOND LIMITS. R & R TRACK LBL 9 BETWEEN FS 559+112 & 574 WITH SERVICEABLE PART IAW SRM 51-40-11 & 51-41-02."
5/3/2006 11:28:18,5340,CLIP,FUSELAGE,"FS 280, LBL 9 OB CLIP IS CRACKED. (K) MAINTENANCE CRACKED CLIP AND INSTALLED NEW SERVICEABLE CLIP IAW CRJ200 SRM 51-42-06, 51-42-21. (M)"
4/8/2014 11:13:27,5240,BRACKET,SERVICE DOOR,SERVICE DOOR INNER HANDLE PROX SWITCH BRACKET CRACKED. R & R BRACKET WITH SERVICEABLE PN 601R38723-17 IAW SRM 51-40-11 & 51-42-20.
4/8/2014 13:12:09,5230,RETAINER,CARGO DOOR,CARGO DOOR LOWER SEAL RETAINERS CRACKED & GOUGED. R & R SEAL RETAINERS PN CC670-38742-1 & CC670-38746-1 IAW SRM 51-40-11 & 51-42-06.
5/3/2006 10:47:57,5340,CLIP,FUSELAGE,"FS 280, LBL 9, IB CLIP IS CRACKED. (K) MAINTENANCE REMOVED CRACKED CLIP AND INSTALLED NEW SERVICEABLE CLIP IAW CRJ 200 SRM 51-42-06 AND 51-42-21. (M)"
5/3/2006 11:31:53,5340,CLIP,FUSELAGE,"FS 280, RBL 9 IB CLIP IS CRACKED. (K) MAINTENANCE REMOVED CRACKED CLIP AND INSTALLED NEW SERVICEABLE CLIP IAW CRJ 200 SRM 51-42-06, 51-42-21. (M)"
4/8/2014 11:28:15,5320,FLOOR SUPPORT,FUSELAGE,FLOOR SUPPORT JUST AFT OF PAX DOOR HAS CORROSION. R & R FLOOR SUPPORT WITH SERVICEABLE SUPPORT IAW SRM 51-40-11.
4/8/2014 11:33:00,5320,POST,FUSELAGE,FS 409+128 LT VERTICAL POST LOWER OTBD SIDE CRACKED. REPAIRED FS 409+128 VERTICAL POST IAW REO 601R-53-41-056.
4/8/2014 11:37:50,5347,SEAT TRACK,FUSELAGE,ONE EACH TIE DOWN ON RBL 9 AT FS 559+112 HAS CORROSION. R & R CORRODED SEAT TRACK WITH NEW SERVICEABLE SEAT TRACK IAW SRM 51-40-11.
4/8/2014 11:40:48,5320,INTERCOSTAL,FUSELAGE,"REPAIR APU INLET DOOR ACT SUPPORT 13-085B. R & R DOOR ACTUATOR SUPPORT INTERCOSTAL IAW SRM 51-41-00, 51-40-11, 51-25-16 & 51-41-04."
