IncidentID,IncidentDate,ReportDate,Location,Department,IncidentType,Designator,Severity,Status,ReportedBy,AssignedTo,Witnesses,PoliceNotified,PoliceReportNumber,PropertyDamage,EstimatedCost,InjuryOccurred,VideoEvidence,FollowUpRequired,ResolutionNotes,Narrative
INC-010000,2024-12-15 16:14,2024-12-16 19:14,Main Office,IT,WORKPLACE_VIOLENCE,VIOLENCE,High,Under Investigation,Employee_4811,Security_17,4,True,PR-835392,False,0,False,True,True,Investigation complete,Physical altercation between two employees in break room. Both parties separated by security.
INC-010001,2025-04-20 16:14,2025-04-22 06:14,Break Room,IT,UNAUTHORIZED_ACCESS,ACCESS,High,Open,Employee_7201,Pending,5,False,,True,0,False,True,False,Investigation complete,Attempted access to server room without proper credentials. Access denied and logged.
INC-010002,2024-11-04 16:14,2024-11-05 09:14,Cafeteria,HR,CYBER_SECURITY,CYBER,High,Under Investigation,Employee_3677,Pending,2,True,,True,0,False,True,False,,Malware detected on workstation in department South Wing. Computer quarantined.
INC-010003,2025-06-09 16:14,2025-06-11 15:14,Retail Store,Facilities,THEFT,THEFT,High,Resolved,Employee_7543,Security_12,1,False,,True,100,False,True,False,Investigation complete,Shoplifting incident at retail location. Suspect took package valued at $2000. Suspect apprehended.
INC-010004,2025-05-30 16:14,2025-06-01 09:14,Conference Room,HR,UNAUTHORIZED_ACCESS,ACCESS,High,Resolved,Employee_3591,Security_15,5,False,PR-898975,True,0,False,False,True,,Former employee attempted building access. Badge already deactivated. Entry denied.
INC-010005,2025-09-14 16:14,2025-09-15 07:14,Server Room,HR,SAFETY_HAZARD,SAFETY,Medium,Resolved,Employee_2133,Security_18,1,False,PR-273148,False,5000,False,True,True,Investigation complete,Chemical spill in laboratory 425. Area evacuated and hazmat team called.
INC-010006,2025-10-03 16:14,2025-10-05 05:14,Retail Store,Operations,UNAUTHORIZED_ACCESS,ACCESS,Medium,Open,Employee_2163,Security_2,0,True,PR-174299,True,0,False,False,True,Investigation complete,Door to restricted area B-12 found propped open. Area secured by security team.
INC-010007,2025-03-07 16:14,2025-03-08 14:14,Laboratory,Manufacturing,SAFETY_HAZARD,SAFETY,High,Open,Employee_2612,Pending,5,False,PR-214576,True,0,False,True,False,,"Water leak from ceiling creating electrical hazard. Power shut off, repairs underway."
INC-010008,2025-06-14 16:14,2025-06-15 02:14,Laboratory,Security,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Medium,Under Investigation,Employee_7570,Security_2,3,True,PR-378085,False,0,False,False,True,,Unusual activity reported in parking lot late at night. Individual taking photos of building.
INC-010009,2025-01-15 16:14,2025-01-16 02:14,Main Office,Facilities,VANDALISM,VANDALISM,Low,Under Investigation,Employee_2122,Security_20,5,True,,True,0,False,True,False,Investigation complete,Graffiti found on exterior wall of building A. Maintenance notified for cleanup.
INC-010010,2024-11-04 16:14,2024-11-06 09:14,Break Room,Security,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Medium,Open,Employee_1152,Security_15,0,True,,True,0,False,True,False,,Drone spotted flying near building perimeter. Activity reported to authorities.
INC-010011,2025-08-15 16:14,2025-08-15 22:14,Cafeteria,Facilities,UNAUTHORIZED_ACCESS,ACCESS,Medium,Closed,Employee_5616,Security_20,5,False,,False,500,False,True,True,Investigation complete,Individual without badge found wandering in building A. Identified as lost visitor.
